Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,adi_epi_1,adi_epi_2,adi_epi_3,adi_ing_1,adi_ing_2,adi_ing_3,adi_peri_1,adi_peri_2,adi_peri_3,adi_retro_1,adi_retro_2,adi_retro_3,adi_ibat_1,adi_ibat_2,adi_ibat_3,svf_epi_1,svf_epi_2,svf_epi_3,svf_ing_1,svf_ing_2,svf_ing_3,svf_peri_1,svf_peri_2,svf_peri_3,svf_retro_1,svf_retro_2,svf_retro_3,svf_ibat_1,svf_ibat_2,svf_ibat_3
4.33_146.0807m/z,,146.0807483,1,4.3341,0.03045,6,0.158283771,0.023152403,1.564108147,Condition 3,Condition 1,100,137.1233105,4.06,78.16030822,104.3979824,117.0779991,119.9511136,107.4124612,100.6376988,159.2537282,131.9160299,120.1566543,105.0629103,115.0974922,112.3496885,127.4124733,136.0216226,86.76478547,124.3471035,118.2513516,105.7013914,109.076436,115.7784966,106.8258886,94.81370961,109.6487746,88.8780087,96.53096059,116.5608373,87.81918079,120.5769231,111.391481,93.72145102
9.49_868.7378m/z,,868.7377859,1,9.494333333,0.1695,51,0.158387642,0.02315771,Infinity,Condition 3,Condition 9,100 - 57.7,181319.4452,46.19,0,80380.99168,39891.64953,76319.07186,0,0,201499.69,257649.2788,88129.663,98971.60421,606.2544652,0,110.4455158,246.4592308,22966.94753,31666.67359,21181.12833,0,345.1714647,0,0,0,162.4780426,523.8001709,0,0,0,0,0,2003.998235
3.95_810.5973m/z,,810.5973469,1,3.949933333,0.0853,62,0.15856108,0.023176475,82.30799024,Condition 1,Condition 4,100 - 41.4,7810.707003,9.74,673.9869683,136.6740777,23544.02235,149.8512611,476.9680031,97.41990667,75.37895371,122.4033513,92.08316679,126.1638476,102.851495,55.58415908,2712.274399,82.90448615,8717.873191,112.5424978,82.56873257,165.7272625,192.8386632,147.5352872,101.2938739,92.88723729,454.2230126,141.256672,129.1710073,108.7217103,138.7253513,140.1022909,139.0084501,188.3513017
15.01_455.4562m/z,,455.4562155,1,15.00548333,0.043916667,7,0.159039639,0.023223307,4.26478006,Condition 1,Condition 3,100,1461.19711,9.39,2151.934211,1385.387751,1641.277928,1506.004585,1222.366985,1221.400032,457.3606911,573.1735089,0,663.8968212,354.3308105,1123.155655,915.9929199,421.4009835,677.6871643,660.0059967,244.762413,434.8288345,641.2435684,125.1655119,261.6356201,750.7836243,957.8528671,425.6315607,780.4453506,950.8480531,970.7967504,1682.097557,1188.112076,796.3752975
9.87_916.8308m/z,,916.8307548,1,9.86805,0.151533333,56,0.159732999,0.023304688,1869.330956,Condition 5,Condition 9,100 - 54.6 - 84.1 - 8.4,289375.6967,14.78,741.3606445,150841.189,276176.2775,33133.52078,0,19626.07587,135525.3541,168587.3283,195704.2026,49862.04252,1980.929793,198.7543259,310105.7428,466426.1105,171592.8324,209609.8882,742.9567108,55210.23869,159858.1247,0,0,0,219.7992706,2850.309626,222.6383362,183.3022614,0,445408.4552,0,4031.245827
9.38_822.7519m/z,,822.7518593,1,9.37695,0.128716667,32,0.160127531,0.02334568,80.25819398,Condition 6,Condition 8,100 - 51.6 - 33.3,239376.1424,38.8,0,178982.59,214.6444397,363036.1537,254039.6107,5953.260585,5532.217636,3033.415543,3551.904221,4663.907193,368339.8954,108677.043,463623.5964,31853.36555,34671.72882,658414.651,11878.84993,5015.339951,728.2653046,257.3273544,7725.941914,861.4843521,3640.158688,3531.144554,29128.4966,11523.40005,2361.248741,2664.046509,100102.9664,57056.09611
8.67_893.6939m/z,,893.6938965,1,8.672683333,0.034316667,3,0.160301438,0.02336772,Infinity,Condition 4,Condition 1,100 - 28.5,5998.881711,125.06,0,0,0,8495.371383,0,0,0,0,0,0,3586.173593,14748.59088,0,0,0,226.4097366,6462.650635,0,0,0,0,0,0,0,0,0,2477.103066,0,0,0
14.58_243.2313m/z,,243.2312879,1,14.57701667,0.0384,26,0.160464779,0.023381583,12.69108228,Condition 7,Condition 3,100,252.8942638,31.88,150.6972511,198.2363658,69.29466189,158.3080439,0,179.8190229,56.42166229,0,0,103.4128609,61.85518456,134.9700409,118.3798714,56.92820593,55.86015381,221.5250282,0,314.2921301,131.7367358,224.96398,352.4355584,106.0366596,220.2935772,193.358306,254.5545197,199.1977654,89.74280548,148.5938201,79.86084366,136.4195415
10.00_946.7820m/z,,946.7820368,1,10.00355,0.017,44,0.160491639,0.023382182,Infinity,Condition 1,Condition 2,100 - 76.5,7588.417624,167.7,0,545.6722107,22985.16296,0,0,0,0,0,0,479.8852234,0,0,1089.821895,0,0,0,0,0,0,0,0,0,0,0,0,5.155335692,0,0,0,0
11.75_903.7385m/z,,903.738545,1,11.7465,0.027783333,120,0.160748459,0.023403012,Infinity,Condition 3,Condition 7,100,10297.29383,87.35,0,740.7306824,0,0,1732.107986,0,0,31483.47479,1073.869415,0,4129.436892,3629.011631,0,2104.605835,0,834.7423401,956.6197867,3587.829224,0,0,0,0,0,0,0,0,0,0,0,1374.043091
8.28_390.4083m/z,,390.4083197,1,8.280983333,0.046583333,1,0.161183712,0.023459734,1.608977105,Condition 10,Condition 7,100 - 3.59,1112.431437,5.05,646.0541612,800.2222411,1111.227659,892.3848709,821.065354,690.0193642,1340.878902,976.169716,698.257559,877.837648,678.4235349,858.0595212,857.3343255,1022.287853,912.5940654,889.4873283,814.2642977,868.1695973,703.4003181,673.2464785,572.8649174,1210.39353,815.0838166,834.396174,694.2267702,969.7545497,873.0758444,845.0860806,1093.817427,973.4497698
0.09_388.2113m/z,,388.2112668,1,0.08965,0.118733333,2,0.161670178,0.023508232,2.707886335,Condition 10,Condition 1,100 - 18.7 - 26.5,5545.485913,1.91,371.8178987,2733.319436,3552.53936,3930.03112,2946.0137,3102.603297,3059.633628,2870.597253,2499.429686,1572.225899,3357.080313,4573.715523,3312.921464,1650.90824,3016.946486,1456.503535,5250.92881,4382.084994,4661.045282,4716.34539,3888.111653,4318.936876,4750.375679,4798.133467,3399.529183,3547.475335,3854.478902,5954.563424,6498.225472,2301.605893
8.83_640.5339m/z,,640.5338719,1,8.832833333,0.2743,1,0.161677022,0.023508232,2.421591449,Condition 1,Condition 5,100 - 15.4,40629.68245,2.72,113423.4205,22259.67329,20458.58852,20744.4823,18940.07678,19628.92137,23057.71176,22716.29063,21101.60849,17447.17095,21118.83108,21697.07129,18708.13914,19687.74049,16948.70393,24575.71215,19959.00671,21532.71204,22421.23496,23353.88918,21363.50616,20129.60189,20411.95936,19283.00345,20648.55179,22824.04923,19531.35298,28498.65274,28622.06956,24842.84418
9.37_878.7341n,878.7341004,896.767926,1,9.371533333,0.145533333,66,0.16194074,0.023543246,203.0750372,Condition 6,Condition 8,100 - 59.4,268045.202,37.13,0,472698.7817,4957.681579,480087.67,308803.9764,16745.05883,7892.74527,4089.976894,8271.583977,19414.76101,538763.8918,154709.2845,737184.754,8924.990188,18252.01421,576959.4141,3238.877968,169161.7368,1013.840874,0,4532.177078,0,1852.148361,1708.039284,32836.9075,4140.753466,764.773735,46959.66744,1329.160617,48383.60407
7.17_827.7074m/z,,827.7073845,1,7.170716667,0.052483333,86,0.161973189,0.023544634,Infinity,Condition 5,Condition 1,100 - 46 - 36.2 - 34.4,41326.43439,172.5,0,0,0,0,0,0,0,0,0,4044.085546,0,0,369.5622711,0,140493.8989,404.1172596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.79_602.4613m/z,,602.461303,1,6.788666667,0.124366667,12,0.162250782,0.023574983,11.14852397,Condition 10,Condition 2,100 - 15.8,6432.346493,9,6145.961302,2939.183506,0,26.27013829,64.31385114,1750.548209,0,2398.718108,30.85523279,0,0,2018.492676,0,0,2289.941672,9233.648468,3800.104031,982.5888023,1852.65593,1983.923243,1667.841705,1998.376237,52.01366163,910.8985337,114.3631973,1446.240074,1065.974072,2942.053322,8943.335146,5026.415983
9.70_924.7988m/z,,924.798796,1,9.70405,0.05125,70,0.162348799,0.023585891,Infinity,Condition 6,Condition 7,100 - 38.6,23422.30615,92.27,0,32159.86767,212.5636673,8364.563364,0,284.3834002,28747.58196,20881.58652,0,55498.72778,985.3600616,0,0,0,642.4814835,2335.039579,0,61183.66,0,0,0,0,0,0,0,0,0,0,0,0
9.30_894.7538m/z,,894.7537919,1,9.303666667,0.034116667,52,0.162398174,0.023589434,Infinity,Condition 6,Condition 2,100,7988.014572,96.92,0,459.7988892,232.1310881,0,0,0,0,0,0,0,0,0,0,224.65065,0,0,0,21630.26477,0,0,0,0,0,0,0,0,0,5047.380969,0,2355.891275
15.82_143.1428m/z,,143.1428321,1,15.81848333,0.0659,23,0.162462647,0.023592426,1.397887949,Condition 9,Condition 7,100,1238.249432,2.24,989.8083298,1133.188255,1062.723208,926.9225296,1029.219676,917.8673668,1026.06548,982.9226742,964.1074243,973.2996799,972.8430626,964.1198193,927.8073855,1061.131876,1168.706857,1008.225711,1055.164859,1088.621178,487.942917,1004.966138,990.8957569,1044.966552,904.9250452,972.0008258,1089.245358,945.918661,1321.826184,999.8950537,1137.934478,915.6483803
11.84_849.6190m/z,,849.6190052,1,11.84006667,0.12615,12,0.163512312,0.023728094,1.820515499,Condition 2,Condition 8,26.9 - 100,33601.06138,8.24,16522.16864,23912.34946,34595.94855,32663.12624,36229.49774,37444.35488,18747.18188,23210.6382,28232.95085,28261.5269,25845.05115,23605.37543,26829.72415,30842.63701,32688.12915,22048.52417,19945.31142,25348.12517,22860.06164,23782.64805,28487.05584,17939.69862,13202.88745,18411.46465,19919.58484,17979.05484,17584.04858,17668.43995,18225.11978,31329.22671
15.74_922.8745m/z,,922.874478,1,15.74163333,0.043916667,15,0.163594515,0.023733322,5.007861066,Condition 3,Condition 10,100,1958.592501,34.06,3332.097688,830.4819031,1206.695351,368.9238206,1512.170059,1432.661453,1023.459528,3987.567954,1033.851013,1710.500214,902.7237887,2211.794391,1195.102672,2377.09761,1816.350861,0,1027.454783,1335.283127,0,1357.386719,0,1673.071594,348.2081909,702.6755676,457.0565643,1540.548707,343.8278198,342.1149445,714.7835849,0
9.52_882.7576m/z,,882.7575953,1,9.5225,0.140716667,52,0.16366958,0.023740861,141.9124948,Condition 3,Condition 7,100 - 39.5 - 28.9 - 9.56,201502.3363,42.2,2296.611725,118690.1596,385.2066498,238233.0618,55384.29938,3243.371933,161911.7365,452932.5022,3734.016298,151517.9273,51848.26623,5061.84364,8392.516449,14355.66202,21511.50657,239814.1747,50263.07331,3638.887506,2248.209122,0,1787.102043,947.8432846,3170.849243,12455.67383,10247.01431,5897.270279,566.7860947,700.2121853,49236.23729,8510.870605
12.46_365.1948m/z,,365.1948053,1,12.46495,0.110116667,7,0.163697494,0.023741559,4.540709506,Condition 10,Condition 1,100 - 5.18,5016.720426,1.59,0,2486.019086,1138.858897,1638.710751,2560.952585,3107.127511,2898.904282,3225.048859,2084.168449,2847.909876,3069.214122,2345.892947,1849.956497,2666.856563,2791.006661,3482.143593,4611.029244,5198.607817,2544.45523,2473.066176,3626.156013,3254.795274,3182.107176,3259.315408,3210.896309,2821.422578,3653.9344,3676.610972,4191.008866,5189.3418
10.69_879.7387m/z,,879.7387119,1,10.68798333,1.008666667,125,0.163875417,0.023764011,3.389049428,Condition 1,Condition 10,100 - 55.5,948799.3366,15.8,882994.3832,1430081.118,963911.0517,924395.134,798074.3476,665879.1392,413795.7107,826443.1376,659888.0219,428738.1339,400103.9568,796441.1949,1232503.154,517893.0912,586456.0459,1240588.575,958036.9691,320294.0214,893871.2793,377054.4933,1012997.723,674268.9264,257951.072,941809.5778,447539.9757,709441.5585,574068.1343,343007.0113,338889.232,67424.82759
15.99_338.3060m/z,,338.3060062,1,15.98866667,0.01645,10,0.16434746,0.02382238,11.04654594,Condition 1,Condition 5,100,1737.161517,7.26,2218.893872,1957.72202,1920.243051,1989.769281,881.6309509,1718.373282,2067.511533,1949.082003,0,524.6997681,1728.307591,1392.841538,0,508.2923724,0,965.5838495,432.4216601,393.9631805,360.1256371,0,734.8151142,898.158493,471.0540161,763.4781534,0,431.317144,0,0,910.3454564,365.2992171
0.19_734.5687m/z,,734.5686708,1,0.191166667,0.047133333,41,0.164406753,0.023824314,Infinity,Condition 5,Condition 8,100 - 40.2,3086.746268,81.65,0,637.4181519,333.7861984,866.8632469,316.9733599,2048.131918,1032.328315,132.8591442,0,0,2708.028322,0,147.0778351,0,10369.32442,37.20376587,0,0,0,0,3890.094128,0,0,0,0,0,0,0,0,0
14.50_455.4562m/z,,455.456219,1,14.50013333,0.021966667,7,0.164430335,0.023824314,8.410174159,Condition 8,Condition 3,100,919.6093883,32,604.7195334,921.4652761,854.9854215,138.028802,814.1566045,133.2749802,0,0,335.161972,354.4182739,464.1561807,204.1389084,246.29776,913.5236903,149.9306202,179.4530563,0,1101.871213,833.0084439,1216.52638,143.6078219,1068.295555,1128.911103,260.5731964,550.651192,0,195.1112976,232.2459259,851.6039961,825.9848026
